tweet_id,user_username,text,source,conversation_id,author_id,created_at,in_reply_to_user_id,lang,possibly_sensitive,user_name,user_protected,user_verified,user_created_at,user_profile_image_url,user_description,user_url,user_pinned_tweet_id,user_location,retweet_count,like_count,quote_count,user_tweet_count,user_list_count,user_followers_count,user_following_count,sourcetweet_type,sourcetweet_id,sourcetweet_text,sourcetweet_lang,sourcetweet_author_id,cluster
1004223837586755587,handelsblatt,RT @ThomasSigmund Hamburger Justizsenator will Gesetz gegen #Hassbotschaften im Netz nachbessern - https://t.co/wTZmh6qhHv? @handelsblatt #HateSpeech #Facebook,RoundTeam,1004223837586755587,5776022,2018-06-06T04:49:55.000Z,,de,False,Handelsblatt,False,True,2007-05-04T21:34:35.000Z,https://pbs.twimg.com/profile_images/1280410506914869249/HauFDfyf_normal.jpg,Deutschlands führende Wirtschafts- und Finanzzeitung. Substanz entscheidet. #Handelsblatt https://t.co/wMfsGGkYpX,https://t.co/9hsm53HbFJ,1.5884396500829798e+18,Düsseldorf,7,0,0,233418,4500,373254,694,retweeted,1.0042234661097964e+18,Hamburger Justizsenator will Gesetz gegen #Hassbotschaften im Netz nachbessern - https://t.co/wTZmh6qhHv? @handelsblatt #HateSpeech #Facebook,de,8.412078261481513e+17,orange
1004221306173378560,handelsblatt,RT @dneuerer #NetzDG auf dem Prüfstand: Hamburger Justizsenator @till_steffen will Gesetz gegen Hassbotschaften im Netz nachbessern. https://t.co/WZRYW9HdKa #HateSpeech,RoundTeam,1004221306173378560,5776022,2018-06-06T04:39:51.000Z,,de,False,Handelsblatt,False,True,2007-05-04T21:34:35.000Z,https://pbs.twimg.com/profile_images/1280410506914869249/HauFDfyf_normal.jpg,Deutschlands führende Wirtschafts- und Finanzzeitung. Substanz entscheidet. #Handelsblatt https://t.co/wMfsGGkYpX,https://t.co/9hsm53HbFJ,1.5884396500829798e+18,Düsseldorf,5,0,0,233418,4500,373254,694,retweeted,1.0042202123408425e+18,#NetzDG auf dem Prüfstand: Hamburger Justizsenator @till_steffen will Gesetz gegen Hassbotschaften im Netz nachbessern. https://t.co/WZRYW9HdKa #HateSpeech,de,236077053.0,orange
1004201879092547585,handelsblatt,Anfang Juli sollen Facebook und Co über ihre Erfahrungen mit dem Anti-Hass-Gesetz berichten. So lange will der Hamburger Justizsenator aber nicht warten. https://t.co/3YPIFw7O3g,Zapier.com,1004201879092547585,5776022,2018-06-06T03:22:39.000Z,,de,False,Handelsblatt,False,True,2007-05-04T21:34:35.000Z,https://pbs.twimg.com/profile_images/1280410506914869249/HauFDfyf_normal.jpg,Deutschlands führende Wirtschafts- und Finanzzeitung. Substanz entscheidet. #Handelsblatt https://t.co/wMfsGGkYpX,https://t.co/9hsm53HbFJ,1.5884396500829798e+18,Düsseldorf,0,0,0,233418,4500,373254,694,,,,,,orange
1006134755824492544,handelsblatt,"Zwei #FDP-Abgeordnete wollen juristisch gegen das #Netzwerkdurchsetzungsgesetz vorgehen. Ein Staatsrechtler hält die Klage für unzulässig, berichtet @dneuerer. #NetzDG  https://t.co/niwf9JMKVa",Echobox,1006134755824492544,5776022,2018-06-11T11:23:13.000Z,,de,False,Handelsblatt,False,True,2007-05-04T21:34:35.000Z,https://pbs.twimg.com/profile_images/1280410506914869249/HauFDfyf_normal.jpg,Deutschlands führende Wirtschafts- und Finanzzeitung. Substanz entscheidet. #Handelsblatt https://t.co/wMfsGGkYpX,https://t.co/9hsm53HbFJ,1.5884396500829798e+18,Düsseldorf,4,4,2,233418,4500,373254,694,,,,,,orange
1006130113979744257,fdp,RT @nicolabeerfdp Heute wird durch unsere @fdp Bundestagsabgeordneten @jimmyschulz &amp; @ManuelHoeferlin Klage gegen das #NetzDG eingereicht. Juristisch werden die beiden unterstützt durch den Juraprofessor @HGersdorf. https://t.co/Ll4NbzrjEU via @tagesschau @ARDde @UllaRamone @Liberale_News #NetzDG,Twitter for Android,1006130113979744257,39475170,2018-06-11T11:04:46.000Z,,de,False,FDP,False,True,2009-05-12T10:50:27.000Z,https://pbs.twimg.com/profile_images/1542906420705763328/pmRYBlnA_normal.jpg,"News und Updates rund um die Politik der FDP und alles, was die Liberalen bewegt.
Impressum: https://t.co/yVWlhTXf9d
Datenschutz: https://t.co/xg2BYgS8gJ",https://t.co/P5fwsDYPr5,,"Genscher-Haus, Berlin",48,0,0,25623,1606,415194,721,retweeted,1.0060683978205716e+18,Heute wird durch unsere @fdp Bundestagsabgeordneten @jimmyschulz &amp; @ManuelHoeferlin Klage gegen das #NetzDG eingereicht. Juristisch werden die beiden unterstützt durch den Juraprofessor @HGersdorf. https://t.co/Ll4NbzrjEU via @tagesschau @ARDde @UllaRamone @Liberale_News #NetzDG,de,8.286239989216297e+17,orange
1006129052678344704,nicolabeerfdp,"RT @FNFreiheit Die erste Klage gegen das #NetzDG durch @jimmyschulz &amp; @ManuelHoeferlin läuft! Hier unsere 5 Gründe, warum sich #Fakenews und #Hatespeech nicht per Gesetz verhindern lassen: https://t.co/9H4znq51hd https://t.co/z3Vv9HT22l",Twitter Web Client,1006129052678344704,828623998921629696,2018-06-11T11:00:33.000Z,,de,False,Nicola Beer,False,True,2017-02-06T15:18:51.000Z,https://pbs.twimg.com/profile_images/1293861921570066433/lfFQPPOV_normal.jpg,Vizepräsidentin Europäisches Parlament | Stellv. Bundesvorsitzende @fdp | Kultusministerin a.D.| Staatssekretärin Europa a.D. | Retweet`endorsement TB=Team Beer,https://t.co/KnWqcdzN58,,"Frankfurt am Main, Brüssel",21,0,0,11679,374,19543,5074,retweeted,1.0061227927299318e+18,"Die erste Klage gegen das #NetzDG durch @jimmyschulz &amp; @ManuelHoeferlin läuft! Hier unsere 5 Gründe, warum sich #Fakenews und #Hatespeech nicht per Gesetz verhindern lassen: https://t.co/9H4znq51hd https://t.co/z3Vv9HT22l",de,63077245.0,orange
1006128965315104769,nicolabeerfdp,"RT @fdp Gerichte brauchen lang, um festzustellen, was Satire ist. Facebook- und Twitter-Mitarbeiter soll das innerhalb kurzer Zeit entscheiden. Das kann nicht sein. #NetzDG #Kunstfreiheit Gersdorf",Twitter Web Client,1006128965315104769,828623998921629696,2018-06-11T11:00:12.000Z,,de,False,Nicola Beer,False,True,2017-02-06T15:18:51.000Z,https://pbs.twimg.com/profile_images/1293861921570066433/lfFQPPOV_normal.jpg,Vizepräsidentin Europäisches Parlament | Stellv. Bundesvorsitzende @fdp | Kultusministerin a.D.| Staatssekretärin Europa a.D. | Retweet`endorsement TB=Team Beer,https://t.co/KnWqcdzN58,,"Frankfurt am Main, Brüssel",13,0,0,11679,374,19543,5074,retweeted,1.006116945668821e+18,"Gerichte brauchen lang, um festzustellen, was Satire ist. Facebook- und Twitter-Mitarbeiter soll das innerhalb kurzer Zeit entscheiden. Das kann nicht sein. #NetzDG #Kunstfreiheit Gersdorf",de,39475170.0,orange
1006117290268602368,fdp,. @ManuelHoeferlin plädiert für eine Stelle ähnlich dem Jugendschutz. #NetzDG,Twitter Web App,1006117290268602368,39475170,2018-06-11T10:13:49.000Z,,de,False,FDP,False,True,2009-05-12T10:50:27.000Z,https://pbs.twimg.com/profile_images/1542906420705763328/pmRYBlnA_normal.jpg,"News und Updates rund um die Politik der FDP und alles, was die Liberalen bewegt.
Impressum: https://t.co/yVWlhTXf9d
Datenschutz: https://t.co/xg2BYgS8gJ",https://t.co/P5fwsDYPr5,,"Genscher-Haus, Berlin",1,7,0,25623,1606,415194,721,,,,,,orange
1006116945668820993,fdp,"Gerichte brauchen lang, um festzustellen, was Satire ist. Facebook- und Twitter-Mitarbeiter soll das innerhalb kurzer Zeit entscheiden. Das kann nicht sein. #NetzDG #Kunstfreiheit Gersdorf",Twitter Web App,1006116945668820993,39475170,2018-06-11T10:12:27.000Z,,de,False,FDP,False,True,2009-05-12T10:50:27.000Z,https://pbs.twimg.com/profile_images/1542906420705763328/pmRYBlnA_normal.jpg,"News und Updates rund um die Politik der FDP und alles, was die Liberalen bewegt.
Impressum: https://t.co/yVWlhTXf9d
Datenschutz: https://t.co/xg2BYgS8gJ",https://t.co/P5fwsDYPr5,,"Genscher-Haus, Berlin",13,111,2,25623,1606,415194,721,,,,,,orange
1006115512366043136,fdp,"Die Algorithmen erkennen keine Satire, löschen sie aber im Zweifel. #NetzDG #Kunstfreiheit Gersdorf",Twitter Web App,1006115512366043136,39475170,2018-06-11T10:06:45.000Z,,de,False,FDP,False,True,2009-05-12T10:50:27.000Z,https://pbs.twimg.com/profile_images/1542906420705763328/pmRYBlnA_normal.jpg,"News und Updates rund um die Politik der FDP und alles, was die Liberalen bewegt.
Impressum: https://t.co/yVWlhTXf9d
Datenschutz: https://t.co/xg2BYgS8gJ",https://t.co/P5fwsDYPr5,,"Genscher-Haus, Berlin",5,34,1,25623,1606,415194,721,,,,,,orange
